"Houston County, Texas","22,066","20,843","13,430","5,195",131,138,10,"1,939","1,223","1,174",199,247,20,6,631,9,1,0,38,5,0,13,0,5,0,49,6,2,0,7,3,0,13,4,0,3,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Howard County, Texas","34,860","29,990","23,664","1,721",404,407,24,"3,770","4,870","4,744",240,453,98,0,"3,808",14,0,3,71,0,1,34,1,19,2,104,33,0,0,15,0,3,35,6,6,0,0,0,0,0,0,0,0,1,0,5,18,3,0,1,0,5,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Hudspeth County, Texas","3,202","2,561","1,874",16,39,10,0,622,641,614,1,32,4,1,555,2,0,0,5,0,0,12,0,2,0,22,4,0,0,0,0,1,13,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Hunt County, Texas","99,956","88,424","70,576","8,014","1,263","1,016",157,"7,398","11,532","11,171",977,"2,369",352,86,"6,995",91,23,12,85,3,0,113,18,39,8,344,96,16,0,41,40,0,113,7,21,0,0,3,1,1,0,1,2,0,1,1,15,4,0,4,3,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Hutchinson County, Texas","20,617","18,298","15,269",469,391,111,2,"2,056","2,319","2,212",204,666,56,2,"1,164",17,1,1,18,0,1,67,0,15,0,98,18,0,0,23,3,0,44,6,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Irion County, Texas","1,513","1,350","1,200",7,16,0,1,126,163,141,7,12,1,2,107,1,0,0,2,1,3,0,0,5,0,14,1,0,1,1,2,0,0,2,0,2,0,0,1,2,0,0,0,2,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0
"Jack County, Texas","8,472","7,869","6,663",311,70,41,5,779,603,560,17,129,14,7,384,6,1,0,1,0,0,1,0,0,0,37,4,4,0,2,8,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jackson County, Texas","14,988","12,894","9,782","1,011",80,158,5,"1,858","2,094","2,024",98,205,16,3,"1,634",5,9,0,23,0,2,16,10,0,3,56,9,2,0,13,0,0,10,0,13,0,2,0,2,1,2,0,0,2,0,0,8,0,0,0,0,2,0,0,4,1,0,0,0,0,1,0,5,1,4,0,0,0,0,1,1
"Jasper County, Texas","32,980","31,407","24,327","5,594",182,127,19,"1,158","1,573","1,514",303,506,33,8,627,25,0,0,0,0,0,6,5,0,1,48,14,1,0,0,9,2,14,0,5,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,4,0,2,0,0,3,3
"Jeff Davis County, Texas","1,996","1,664","1,467",1,26,15,2,153,332,300,2,29,4,5,250,1,4,0,0,0,1,4,0,0,0,24,2,0,0,2,0,0,7,0,0,0,2,3,1,1,0,1,1,3,0,1,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0
"Jefferson County, Texas","256,526","234,053","108,905","84,835","1,787","10,080",112,"28,334","22,473","21,619","1,947","1,863",731,45,"15,219",391,145,30,694,23,0,386,13,116,16,791,217,29,3,150,9,2,292,19,52,0,1,0,9,0,0,1,2,5,0,0,57,15,0,29,5,0,0,3,2,3,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0
"Jim Hogg County, Texas","4,838","3,064","2,333",5,31,26,5,664,"1,774","1,762",1,11,6,6,"1,732",0,0,0,0,0,3,3,0,0,0,8,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0
"Jim Wells County, Texas","38,891","27,863","22,187",265,264,158,16,"4,973","11,028","10,922",82,269,17,3,"10,448",12,0,0,27,0,0,52,0,12,0,99,5,0,0,16,10,0,55,0,11,0,2,0,0,0,0,0,0,0,0,0,7,3,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Johnson County, Texas","179,927","157,718","129,863","6,770","1,719","1,812",949,"16,605","22,209","21,405","1,398","4,083",682,95,"14,448",62,58,15,223,20,4,214,55,28,20,736,136,34,8,117,53,5,295,40,32,6,0,0,6,0,4,0,0,0,0,0,61,17,0,33,0,0,0,0,10,1,0,0,0,0,0,0,3,2,0,0,1,0,0,4,4
"Jones County, Texas","19,663","18,141","12,902","2,024",120,114,7,"2,974","1,522","1,459",99,252,19,14,"1,041",5,6,3,13,0,0,6,1,0,0,57,10,8,0,10,0,3,16,0,4,2,0,0,1,0,2,0,0,0,0,1,6,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Karnes County, Texas","14,710","12,091","8,215","1,174",87,151,4,"2,460","2,619","2,548",38,104,4,0,"2,350",3,2,0,14,0,0,21,12,0,0,56,15,0,0,8,6,0,21,4,2,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,5,0,0,4,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
"Kaufman County, Texas","145,310","126,404","87,435","21,948","1,413","2,174",82,"13,352","18,906","18,166","1,515","2,552",530,71,"12,630",170,60,15,326,13,1,199,25,56,3,676,168,38,12,129,46,4,211,27,23,1,5,0,5,1,1,0,1,2,0,2,59,11,1,35,0,1,2,4,1,4,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0
"Kendall County, Texas","44,279","38,018","34,449",347,289,379,39,"2,515","6,261","6,054",171,716,266,25,"4,746",14,14,0,17,0,1,52,15,4,13,194,1,3,0,17,9,1,108,22,21,2,0,4,4,0,2,0,0,0,0,0,13,1,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kenedy County, Texas",350,223,137,1,7,0,1,77,127,113,0,2,0,0,106,0,0,0,1,0,0,1,0,3,0,8,3,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Kent County, Texas",753,716,676,2,6,1,0,31,37,26,0,0,0,0,20,0,0,0,1,0,2,0,1,2,0,9,2,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Kerr County, Texas","52,598","45,281","39,702",789,338,606,50,"3,796","7,317","7,118",215,843,167,28,"5,718",14,3,0,42,0,1,37,14,25,11,179,12,3,2,27,7,1,110,3,9,1,0,0,0,0,0,4,0,0,0,0,14,5,0,5,0,0,0,0,2,0,2,0,0,0,0,0,6,0,5,1,0,0,0,0,0
"Kimble County, Texas","4,286","3,937","3,533",8,30,34,3,329,349,317,7,57,5,3,236,5,0,0,0,0,0,0,3,1,0,16,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1,2,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
"King County, Texas",265,253,242,0,0,0,4,7,12,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,8,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kinney County, Texas","3,129","2,379","2,012",47,33,10,2,275,750,717,3,40,14,4,648,0,0,0,2,0,3,0,0,3,0,21,0,1,0,0,4,1,10,0,0,0,2,2,0,0,1,0,0,0,0,0,10,3,1,0,2,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Kleberg County, Texas","31,040","23,171","17,266","1,129",246,817,1,"3,712","7,869","7,733",136,222,95,2,"7,172",3,5,0,41,4,3,31,2,17,0,126,12,11,0,10,0,0,71,3,11,0,0,6,0,0,2,0,0,0,0,0,10,2,2,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knox County, Texas","3,353","3,048","2,393",165,9,24,3,454,305,292,15,49,4,1,195,9,0,0,13,0,4,2,0,0,0,5,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lamar County, Texas","50,088","46,207","36,479","6,446",870,481,32,"1,899","3,881","3,700",600,"1,473",83,6,"1,351",86,6,3,48,1,1,21,9,11,1,156,76,7,0,14,6,3,28,0,5,3,8,0,3,0,3,0,0,0,0,0,21,5,0,0,0,0,0,0,4,0,11,1,0,0,0,0,4,1,3,0,0,0,0,0,0
"Lamb County, Texas","13,045","10,001","7,369",453,81,11,17,"2,070","3,044","2,981",38,76,6,6,"2,805",9,0,0,8,1,1,23,5,1,2,52,2,2,0,13,6,0,17,0,1,2,4,0,4,0,0,0,0,0,0,1,10,0,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
"Lampasas County, Texas","21,627","18,992","16,337",741,233,252,86,"1,343","2,635","2,460",221,489,177,27,"1,463",4,1,8,27,0,0,16,12,10,5,153,24,6,1,22,12,7,48,14,11,2,0,0,0,2,0,0,0,0,0,4,20,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
"La Salle County, Texas","6,664","4,378","3,189",235,17,5,0,932,"2,286","2,242",0,49,8,4,"2,168",0,0,0,0,3,0,8,0,2,0,42,4,1,0,16,3,0,11,4,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavaca County, Texas","20,337","18,421","15,821","1,247",111,74,5,"1,163","1,916","1,830",185,191,18,4,"1,405",4,0,0,6,3,0,8,3,3,0,72,20,1,0,20,2,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Lee County, Texas","17,478","15,247","11,744","1,691",99,61,2,"1,650","2,231","2,127",144,308,30,0,"1,583",5,2,3,28,5,0,15,2,2,0,94,26,0,1,35,0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0
"Leon County, Texas","15,719","14,557","12,391",945,107,111,6,997,"1,162","1,096",67,263,25,1,719,9,0,0,3,0,0,6,1,1,1,57,22,1,1,0,3,0,27,1,0,0,0,0,0,1,1,0,0,0,0,0,7,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Liberty County, Texas","91,628","81,331","55,857","7,171","1,100",499,17,"16,687","10,297","9,996",599,"1,299",135,41,"7,535",14,11,8,102,4,5,204,8,20,11,268,62,1,0,57,11,2,110,2,17,0,0,0,0,0,0,1,0,0,5,0,24,1,0,6,3,10,0,0,3,1,0,0,0,0,0,0,7,0,4,0,0,3,0,2,2
"Limestone County, Texas","22,146","20,425","14,018","3,726",147,162,18,"2,354","1,721","1,636",270,281,29,2,819,17,2,1,51,0,0,154,0,10,0,63,20,11,0,10,4,0,5,6,1,5,0,0,1,0,0,0,0,0,0,0,19,0,2,0,0,3,0,2,8,0,4,0,0,0,0,0,1,1,0,0,0,0,0,2,2
"Lipscomb County, Texas","3,059","2,574","1,969",4,37,2,1,561,485,464,1,73,4,0,369,2,1,0,3,0,0,4,0,7,0,16,2,0,0,2,0,0,8,0,0,1,2,0,0,0,0,1,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Live Oak County, Texas","11,335","9,471","8,419",214,65,37,3,733,"1,864","1,819",41,141,12,7,"1,599",5,3,0,2,0,0,3,0,2,4,42,4,0,0,2,0,1,26,0,2,0,3,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Llano County, Texas","21,243","19,569","18,388",105,169,133,4,770,"1,674","1,594",62,492,41,7,948,12,4,0,4,5,0,17,2,0,0,77,27,0,0,15,6,4,19,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
"Loving County, Texas",64,58,56,0,1,0,0,1,6,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Lubbock County, Texas","310,639","267,331","191,717","27,279","3,206","9,701",248,"35,180","43,308","41,984","2,331","4,194","1,253",120,"32,734",198,90,13,586,26,2,274,22,102,39,"1,256",217,63,7,253,75,4,479,33,96,9,0,0,1,5,10,0,0,1,0,3,63,22,3,12,1,2,0,0,9,0,5,4,1,0,4,0,3,0,3,0,0,0,0,2,2
"Lynn County, Texas","5,596","4,939","3,724",107,36,10,4,"1,058",657,625,22,95,3,3,489,0,9,0,0,2,0,0,2,0,0,25,2,1,0,3,0,2,15,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"McCulloch County, Texas","7,630","6,561","5,821",98,38,39,1,564,"1,069","1,024",47,113,6,0,817,2,1,0,18,2,4,9,3,2,0,29,0,0,1,9,2,0,5,0,2,0,0,0,4,0,0,5,0,0,0,1,7,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,5,0,4,0,0,0
"McLennan County, Texas","260,579","229,896","156,475","37,518","2,511","5,010",189,"28,193","30,683","29,563","2,717","3,655","1,274",117,"20,307",249,69,11,618,12,7,396,42,60,29,"1,047",264,59,3,208,41,17,338,39,56,2,1,0,6,6,1,1,0,0,0,5,72,21,4,38,2,2,0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"McMullen County, Texas",600,448,411,3,1,3,5,25,152,137,1,1,2,1,130,0,0,0,0,0,0,2,0,0,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
"Madison County, Texas","13,455","12,513","7,695","2,610",107,106,1,"1,994",942,907,75,117,14,1,671,5,0,0,19,0,0,2,0,0,3,30,6,0,0,1,1,1,15,0,0,1,0,0,0,1,4,0,0,0,0,0,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marion County, Texas","9,725","9,102","6,968","1,857",86,48,0,143,623,568,117,236,16,1,166,10,2,0,6,7,1,2,1,0,3,37,18,0,0,3,0,3,5,0,7,0,0,0,0,0,0,0,0,0,0,1,14,0,1,3,0,0,0,0,5,0,0,3,2,0,0,0,4,4,0,0,0,0,0,0,0
"Martin County, Texas","5,237","4,469","3,580",87,69,9,1,723,768,745,22,31,6,0,630,0,1,0,0,0,0,49,2,4,0,14,4,0,0,4,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,9,0,2,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Mason County, Texas","3,953","3,503","3,188",9,14,2,0,290,450,429,12,61,0,2,345,0,0,1,1,4,0,0,3,0,0,13,1,0,0,4,0,0,2,0,0,0,0,0,0,5,0,0,1,0,0,0,8,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matagorda County, Texas","36,255","30,626","19,753","3,900",318,720,7,"5,928","5,629","5,419",262,331,63,3,"4,604",13,3,0,72,2,0,50,7,3,6,194,24,4,0,36,11,0,86,7,21,0,1,1,0,0,1,0,0,0,0,2,13,0,1,4,0,4,0,0,3,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0
"Maverick County, Texas","57,887","32,898","16,845",181,"1,163",192,18,"14,499","24,989","24,811",18,76,22,5,"24,547",1,1,0,29,0,0,74,3,32,3,146,21,0,0,28,5,1,59,0,30,1,0,0,0,0,0,0,0,0,0,1,26,0,1,20,0,0,1,0,0,0,2,1,0,1,0,0,6,0,3,0,1,2,0,0,0
"Medina County, Texas","50,748","39,999","31,848","1,366",414,261,42,"6,068","10,749","10,477",205,589,191,14,"9,312",11,4,4,45,0,3,69,11,11,8,248,44,10,8,42,4,0,112,0,14,7,0,0,0,0,2,0,0,0,0,5,22,7,0,9,0,0,0,0,0,0,3,0,3,0,0,0,2,0,2,0,0,0,0,0,0
"Menard County, Texas","1,962","1,740","1,511",13,14,5,3,194,222,214,10,19,1,0,176,3,0,1,0,0,0,0,0,1,3,5,0,0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Midland County, Texas","169,983","137,579","98,404","11,049","1,550","3,983",191,"22,402","32,404","31,801","1,036","2,287",579,35,"27,178",70,15,4,314,8,6,185,24,53,7,548,84,22,0,91,20,5,259,14,46,3,0,0,2,2,0,0,0,0,0,0,51,4,0,23,8,3,0,5,1,0,7,0,0,0,0,0,4,3,1,0,0,0,0,0,0
"Milam County, Texas","24,754","22,158","17,261","2,183",147,119,18,"2,430","2,596","2,492",224,335,35,4,"1,815",11,0,0,45,0,0,21,1,1,0,86,14,4,1,12,6,0,22,5,9,0,0,3,0,0,1,5,0,0,4,0,16,2,0,5,7,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Mills County, Texas","4,456","3,991","3,654",30,15,5,0,287,465,441,11,113,8,1,301,0,0,0,0,0,0,4,0,3,0,13,0,0,0,0,0,1,10,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0
"Mitchell County, Texas","8,990","8,121","5,399",961,88,54,1,"1,618",869,843,80,91,0,0,634,5,0,0,17,1,1,9,4,1,0,24,0,3,0,1,5,0,5,0,0,4,0,4,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montague County, Texas","19,965","18,141","17,066",81,194,84,4,712,"1,824","1,774",82,618,31,4,"1,006",4,0,1,3,4,1,14,1,1,4,42,23,0,0,3,0,0,13,0,1,0,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0
"Montgomery County, Texas","620,443","535,925","407,926","35,394","6,049","21,830",732,"63,994","84,518","81,206","4,411","9,864","4,174",345,"59,316",265,267,75,952,36,10,"1,036",181,247,27,"3,049",395,196,9,526,171,19,"1,207",168,255,27,2,0,28,12,21,0,5,0,1,7,236,34,0,134,3,21,0,16,22,0,4,0,1,0,1,0,27,9,18,0,0,0,0,0,0
"Moore County, Texas","21,358","16,973","9,445",695,419,"1,014",4,"5,396","4,385","4,316",67,257,23,4,"3,614",10,3,0,29,0,0,295,6,8,0,64,6,8,0,7,1,1,34,1,2,0,1,0,0,0,0,3,0,0,0,0,4,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Morris County, Texas","11,973","11,112","8,043","2,467",86,47,9,460,861,831,191,208,25,3,371,18,0,4,3,0,0,3,3,2,0,21,3,7,4,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,4,0,1,0,0,2,2
"Motley County, Texas","1,063",986,931,10,2,0,0,43,77,58,2,29,0,0,22,0,0,0,0,0,0,0,2,0,3,13,0,0,0,0,2,2,0,0,1,1,0,0,0,0,2,0,1,2,0,2,5,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"Nacogdoches County, Texas","64,653","58,923","40,228","10,709",414,767,12,"6,793","5,730","5,517",616,927,229,19,"3,489",60,17,1,95,8,0,46,6,0,4,191,46,14,0,32,10,1,77,6,0,2,1,0,0,1,0,1,0,0,0,0,20,2,0,13,0,0,0,2,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"Navarro County, Texas","52,624","45,572","30,019","6,425",473,401,734,"7,520","7,052","6,827",538,838,91,41,"5,045",29,21,2,103,1,0,92,16,4,6,200,65,9,0,33,3,0,66,2,8,4,5,1,0,0,0,1,0,3,0,0,18,2,0,3,3,1,0,3,6,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,3
"Newton County, Texas","12,217","11,656","9,375","2,086",60,24,0,111,561,533,108,221,15,6,136,18,2,4,18,0,0,0,0,5,0,28,12,2,3,0,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nolan County, Texas","14,738","12,714","10,235",712,108,104,5,"1,550","2,024","1,941",140,231,8,0,"1,474",13,1,0,38,1,0,22,1,11,1,63,12,1,0,22,0,1,10,3,0,3,0,0,0,0,0,0,0,10,0,1,20,0,3,2,1,1,5,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nueces County, Texas","353,178","261,534","191,405","14,309","2,942","8,135",381,"44,362","91,644","89,737","1,653","3,251","1,618",132,"81,342",159,156,17,684,14,4,421,97,163,26,"1,805",184,55,8,352,78,1,848,60,173,16,0,1,12,0,6,0,2,6,3,0,86,25,0,40,0,5,0,13,0,0,0,2,0,0,0,1,16,6,5,0,0,5,0,0,0
"Ochiltree County, Texas","10,015","8,254","5,618",22,146,32,2,"2,434","1,761","1,713",23,141,1,0,"1,508",1,0,0,5,0,0,19,6,8,1,39,0,1,0,0,0,0,29,0,3,1,0,0,5,0,0,0,0,0,0,0,7,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
"Oldham County, Texas","1,758","1,598","1,424",35,10,11,0,118,160,126,10,22,0,0,70,3,5,1,5,0,3,1,2,0,4,24,4,2,0,2,3,3,4,0,3,2,0,0,0,0,0,0,0,0,1,0,7,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0
"Orange County, Texas","84,808","79,407","66,942","8,081",459,"1,113",19,"2,793","5,401","5,201",639,"1,443",266,17,"2,642",31,4,6,89,4,1,33,5,17,4,186,31,11,3,16,8,10,81,3,1,1,8,3,6,0,1,2,0,0,0,1,14,5,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palo Pinto County, Texas","28,409","25,842","22,603",582,269,214,13,"2,161","2,567","2,459",191,596,88,15,"1,523",5,2,0,10,0,0,16,7,4,2,86,28,0,0,19,0,0,21,3,2,4,0,0,2,0,0,1,1,0,0,5,22,9,0,0,0,3,3,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panola County, Texas","22,491","21,057","16,637","3,263",172,105,11,869,"1,434","1,364",167,374,39,11,726,13,7,0,17,7,0,0,1,2,0,53,9,0,3,13,1,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,6,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
